family,layer,alignment,bin,bin_label,n_traces,n_pos,n_neg,bacc,null_p95,null_p99,null_p995,null_mean,p_value
primary,21,a,0,"decile 0 [0.0,0.1)",238,86,152,0.5437,0.5541,0.5854,0.5962,0.4991,0.0938
primary,21,a,1,"decile 1 [0.1,0.2)",238,86,152,0.5397,0.5561,0.5822,0.5879,0.4992,0.1138
primary,21,a,2,"decile 2 [0.2,0.3)",238,86,152,0.5276,0.5582,0.5809,0.5852,0.5016,0.2455
primary,21,a,3,"decile 3 [0.3,0.4)",238,86,152,0.5652,0.5589,0.5775,0.5891,0.5018,0.0279
primary,21,a,4,"decile 4 [0.4,0.5)",238,86,152,0.5403,0.5589,0.5807,0.5853,0.5004,0.1238
primary,21,a,5,"decile 5 [0.5,0.6)",238,86,152,0.531,0.5532,0.5732,0.5816,0.5006,0.1717
primary,21,a,6,"decile 6 [0.6,0.7)",238,86,152,0.5382,0.5555,0.5813,0.5916,0.5005,0.1257
primary,21,a,7,"decile 7 [0.7,0.8)",238,86,152,0.5696,0.5552,0.5832,0.5897,0.4987,0.0259
primary,21,a,8,"decile 8 [0.8,0.9)",238,86,152,0.5591,0.5658,0.5856,0.5959,0.5009,0.0699
primary,21,a,9,"decile 9 [0.9,1.0)",238,86,152,0.62,0.5558,0.5758,0.581,0.4991,0.002
primary,21,b,0,"[-250,-225)",167,69,98,0.4306,0.572,0.5945,0.601,0.5018,0.9581
primary,21,b,1,"[-225,-200)",167,69,98,0.5305,0.5597,0.5831,0.5892,0.4987,0.1996
primary,21,b,2,"[-200,-175)",167,69,98,0.4889,0.5665,0.5874,0.603,0.497,0.5589
primary,21,b,3,"[-175,-150)",167,69,98,0.4569,0.5651,0.5872,0.5935,0.4962,0.8303
primary,21,b,4,"[-150,-125)",167,69,98,0.4883,0.5732,0.5971,0.6061,0.5002,0.6088
primary,21,b,5,"[-125,-100)",167,69,98,0.539,0.562,0.5866,0.5925,0.4976,0.1577
primary,21,b,6,"[-100,-75)",167,69,98,0.5111,0.5678,0.5913,0.6044,0.4983,0.3752
primary,21,b,7,"[-75,-50)",167,69,98,0.5691,0.5657,0.5893,0.6014,0.5005,0.0399
primary,21,b,8,"[-50,-25)",167,69,98,0.5131,0.5646,0.6064,0.6094,0.5003,0.3713
primary,21,b,9,"[-25,+0)",167,69,98,0.547,0.5663,0.5964,0.5987,0.5018,0.1178
primary,21,b,10,"[+0,+25)",167,69,98,0.5376,0.5737,0.5964,0.6095,0.5009,0.2056
primary,21,b,11,"[+25,+50)",36,15,21,0.4771,0.6326,0.7055,0.719,0.4958,0.5569
primary,23,a,0,"decile 0 [0.0,0.1)",238,86,152,0.5427,0.5532,0.5848,0.6001,0.4992,0.0998
primary,23,a,1,"decile 1 [0.1,0.2)",238,86,152,0.5362,0.5541,0.5789,0.5904,0.499,0.1417
primary,23,a,2,"decile 2 [0.2,0.3)",238,86,152,0.5216,0.5571,0.5831,0.5875,0.5013,0.2914
primary,23,a,3,"decile 3 [0.3,0.4)",238,86,152,0.5679,0.5601,0.5722,0.5825,0.5016,0.0279
primary,23,a,4,"decile 4 [0.4,0.5)",238,86,152,0.5365,0.5581,0.5797,0.5853,0.4998,0.1417
primary,23,a,5,"decile 5 [0.5,0.6)",238,86,152,0.5393,0.5549,0.5735,0.5831,0.5006,0.1118
primary,23,a,6,"decile 6 [0.6,0.7)",238,86,152,0.5485,0.5572,0.5733,0.582,0.5008,0.0818
primary,23,a,7,"decile 7 [0.7,0.8)",238,86,152,0.5729,0.5577,0.5815,0.5895,0.4987,0.02
primary,23,a,8,"decile 8 [0.8,0.9)",238,86,152,0.5662,0.5664,0.5869,0.5965,0.5018,0.0539
primary,23,a,9,"decile 9 [0.9,1.0)",238,86,152,0.6181,0.5536,0.5746,0.5871,0.499,0.002
primary,23,b,0,"[-250,-225)",167,69,98,0.4308,0.5706,0.599,0.6026,0.5018,0.9561
primary,23,b,1,"[-225,-200)",167,69,98,0.5289,0.5599,0.5885,0.5941,0.4989,0.2295
primary,23,b,2,"[-200,-175)",167,69,98,0.4892,0.572,0.5927,0.6008,0.4976,0.5709
primary,23,b,3,"[-175,-150)",167,69,98,0.4541,0.561,0.5827,0.5962,0.4961,0.8563
primary,23,b,4,"[-150,-125)",167,69,98,0.4921,0.5691,0.6013,0.6063,0.5004,0.5808
primary,23,b,5,"[-125,-100)",167,69,98,0.5418,0.5645,0.5917,0.5996,0.4978,0.1337
primary,23,b,6,"[-100,-75)",167,69,98,0.5141,0.5673,0.5938,0.6021,0.4981,0.3373
primary,23,b,7,"[-75,-50)",167,69,98,0.5607,0.568,0.5867,0.5955,0.5005,0.0739
primary,23,b,8,"[-50,-25)",167,69,98,0.5137,0.5704,0.6036,0.6108,0.5,0.3653
primary,23,b,9,"[-25,+0)",167,69,98,0.5476,0.5677,0.5989,0.6036,0.5021,0.1218
primary,23,b,10,"[+0,+25)",167,69,98,0.5375,0.5702,0.5944,0.6161,0.5009,0.2016
primary,23,b,11,"[+25,+50)",36,15,21,0.4875,0.6354,0.7083,0.7292,0.4958,0.509
primary,25,a,0,"decile 0 [0.0,0.1)",238,86,152,0.5609,0.5532,0.5899,0.5972,0.4995,0.0339
primary,25,a,1,"decile 1 [0.1,0.2)",238,86,152,0.5316,0.5536,0.5778,0.5894,0.4992,0.1657
primary,25,a,2,"decile 2 [0.2,0.3)",238,86,152,0.5277,0.5555,0.5843,0.5908,0.5013,0.2455
primary,25,a,3,"decile 3 [0.3,0.4)",238,86,152,0.5597,0.5608,0.5736,0.5843,0.5017,0.0579
primary,25,a,4,"decile 4 [0.4,0.5)",238,86,152,0.5391,0.5579,0.5755,0.5818,0.5003,0.1317
primary,25,a,5,"decile 5 [0.5,0.6)",238,86,152,0.529,0.5564,0.5723,0.5852,0.5013,0.1976
primary,25,a,6,"decile 6 [0.6,0.7)",238,86,152,0.5494,0.5554,0.5749,0.5834,0.5011,0.0798
primary,25,a,7,"decile 7 [0.7,0.8)",238,86,152,0.5615,0.5581,0.5779,0.5852,0.4996,0.0419
primary,25,a,8,"decile 8 [0.8,0.9)",238,86,152,0.577,0.5639,0.589,0.5951,0.5016,0.0279
primary,25,a,9,"decile 9 [0.9,1.0)",238,86,152,0.622,0.5539,0.5727,0.5829,0.4987,0.002
primary,25,b,0,"[-250,-225)",167,69,98,0.4413,0.5754,0.5989,0.6056,0.5024,0.9381
primary,25,b,1,"[-225,-200)",167,69,98,0.5315,0.5622,0.5908,0.593,0.4986,0.2016
primary,25,b,2,"[-200,-175)",167,69,98,0.4841,0.5682,0.5927,0.6002,0.4973,0.6088
primary,25,b,3,"[-175,-150)",167,69,98,0.4509,0.5651,0.5899,0.5955,0.4963,0.8483
primary,25,b,4,"[-150,-125)",167,69,98,0.5015,0.5659,0.6002,0.6062,0.5002,0.477
primary,25,b,5,"[-125,-100)",167,69,98,0.5348,0.5648,0.6017,0.6042,0.4981,0.1816
primary,25,b,6,"[-100,-75)",167,69,98,0.5103,0.5668,0.593,0.5983,0.498,0.3693
primary,25,b,7,"[-75,-50)",167,69,98,0.5592,0.5681,0.5876,0.592,0.5006,0.0798
primary,25,b,8,"[-50,-25)",167,69,98,0.5255,0.568,0.5998,0.6042,0.5003,0.2575
primary,25,b,9,"[-25,+0)",167,69,98,0.5475,0.5692,0.5982,0.6102,0.5019,0.1118
primary,25,b,10,"[+0,+25)",167,69,98,0.5418,0.5722,0.5954,0.6133,0.5011,0.1876
primary,25,b,11,"[+25,+50)",36,15,21,0.4813,0.636,0.7126,0.7372,0.4951,0.5369
primary,27,a,0,"decile 0 [0.0,0.1)",238,86,152,0.5638,0.554,0.5932,0.5992,0.4996,0.0319
primary,27,a,1,"decile 1 [0.1,0.2)",238,86,152,0.5342,0.5532,0.582,0.5903,0.499,0.1437
primary,27,a,2,"decile 2 [0.2,0.3)",238,86,152,0.5281,0.5604,0.5865,0.5915,0.5012,0.2395
primary,27,a,3,"decile 3 [0.3,0.4)",238,86,152,0.5554,0.5582,0.5796,0.5847,0.5015,0.0579
primary,27,a,4,"decile 4 [0.4,0.5)",238,86,152,0.5339,0.5596,0.5816,0.5838,0.5007,0.1577
primary,27,a,5,"decile 5 [0.5,0.6)",238,86,152,0.5257,0.557,0.5742,0.5823,0.5014,0.2415
primary,27,a,6,"decile 6 [0.6,0.7)",238,86,152,0.5474,0.5521,0.571,0.5783,0.5012,0.0758
primary,27,a,7,"decile 7 [0.7,0.8)",238,86,152,0.5559,0.5576,0.5807,0.5888,0.4992,0.0579
primary,27,a,8,"decile 8 [0.8,0.9)",238,86,152,0.58,0.5627,0.59,0.5955,0.5015,0.0259
primary,27,a,9,"decile 9 [0.9,1.0)",238,86,152,0.632,0.5548,0.5754,0.5869,0.499,0.002
primary,27,b,0,"[-250,-225)",167,69,98,0.4413,0.5714,0.5994,0.6022,0.5025,0.9381
primary,27,b,1,"[-225,-200)",167,69,98,0.5408,0.5653,0.5851,0.5993,0.4986,0.1377
primary,27,b,2,"[-200,-175)",167,69,98,0.4845,0.569,0.5916,0.5988,0.4967,0.6128
primary,27,b,3,"[-175,-150)",167,69,98,0.4433,0.5628,0.5881,0.5974,0.4962,0.9082
primary,27,b,4,"[-150,-125)",167,69,98,0.4831,0.5669,0.6016,0.6087,0.5005,0.6507
primary,27,b,5,"[-125,-100)",167,69,98,0.5375,0.5658,0.5981,0.6086,0.4978,0.1537
primary,27,b,6,"[-100,-75)",167,69,98,0.5162,0.5685,0.5927,0.5989,0.4977,0.3154
primary,27,b,7,"[-75,-50)",167,69,98,0.5571,0.5675,0.589,0.5953,0.5008,0.0818
primary,27,b,8,"[-50,-25)",167,69,98,0.5411,0.5705,0.6008,0.6085,0.5003,0.1357
primary,27,b,9,"[-25,+0)",167,69,98,0.5446,0.5656,0.6021,0.6138,0.5014,0.1317
primary,27,b,10,"[+0,+25)",167,69,98,0.5392,0.5702,0.6002,0.62,0.5009,0.1976
primary,27,b,11,"[+25,+50)",36,15,21,0.4875,0.6421,0.7195,0.7321,0.4964,0.5349
primary,29,a,0,"decile 0 [0.0,0.1)",238,86,152,0.5536,0.5543,0.5901,0.5954,0.4994,0.0559
primary,29,a,1,"decile 1 [0.1,0.2)",238,86,152,0.534,0.5554,0.5812,0.5963,0.4998,0.1557
primary,29,a,2,"decile 2 [0.2,0.3)",238,86,152,0.5258,0.5604,0.5806,0.5875,0.5012,0.2555
primary,29,a,3,"decile 3 [0.3,0.4)",238,86,152,0.553,0.5579,0.5816,0.589,0.5016,0.0739
primary,29,a,4,"decile 4 [0.4,0.5)",238,86,152,0.5379,0.5616,0.5754,0.5842,0.5005,0.1357
primary,29,a,5,"decile 5 [0.5,0.6)",238,86,152,0.5255,0.5553,0.5759,0.5851,0.5012,0.2495
primary,29,a,6,"decile 6 [0.6,0.7)",238,86,152,0.546,0.554,0.5737,0.5771,0.5011,0.0758
primary,29,a,7,"decile 7 [0.7,0.8)",238,86,152,0.5556,0.5579,0.5764,0.5965,0.4993,0.0559
primary,29,a,8,"decile 8 [0.8,0.9)",238,86,152,0.5949,0.5585,0.5938,0.6029,0.501,0.012
primary,29,a,9,"decile 9 [0.9,1.0)",238,86,152,0.6438,0.5552,0.5713,0.5811,0.4991,0.002
primary,29,b,0,"[-250,-225)",167,69,98,0.4424,0.5717,0.6002,0.6047,0.5025,0.9261
primary,29,b,1,"[-225,-200)",167,69,98,0.5401,0.5614,0.5872,0.5992,0.4986,0.1337
primary,29,b,2,"[-200,-175)",167,69,98,0.4785,0.5683,0.597,0.5988,0.4967,0.6627
primary,29,b,3,"[-175,-150)",167,69,98,0.4359,0.5648,0.5893,0.5951,0.4968,0.9421
primary,29,b,4,"[-150,-125)",167,69,98,0.4968,0.5723,0.5998,0.6103,0.5001,0.523
primary,29,b,5,"[-125,-100)",167,69,98,0.544,0.5649,0.5965,0.6028,0.4982,0.1337
primary,29,b,6,"[-100,-75)",167,69,98,0.5119,0.5696,0.5956,0.5985,0.4984,0.3533
primary,29,b,7,"[-75,-50)",167,69,98,0.5595,0.569,0.5897,0.5996,0.4999,0.0818
primary,29,b,8,"[-50,-25)",167,69,98,0.5448,0.5724,0.5983,0.609,0.5002,0.1238
primary,29,b,9,"[-25,+0)",167,69,98,0.6025,0.5665,0.6121,0.6245,0.5008,0.016
primary,29,b,10,"[+0,+25)",167,69,98,0.5462,0.5678,0.5984,0.6154,0.5005,0.1497
primary,29,b,11,"[+25,+50)",36,15,21,0.4729,0.643,0.7172,0.7319,0.4953,0.5908
primary,31,a,0,"decile 0 [0.0,0.1)",238,86,152,0.5501,0.5568,0.5834,0.5971,0.4994,0.0758
primary,31,a,1,"decile 1 [0.1,0.2)",238,86,152,0.5186,0.555,0.5807,0.5917,0.4994,0.3014
primary,31,a,2,"decile 2 [0.2,0.3)",238,86,152,0.5307,0.5607,0.5793,0.5847,0.5018,0.2136
primary,31,a,3,"decile 3 [0.3,0.4)",238,86,152,0.5588,0.5545,0.5771,0.5809,0.5012,0.0439
primary,31,a,4,"decile 4 [0.4,0.5)",238,86,152,0.5383,0.5579,0.5751,0.5806,0.5002,0.1397
primary,31,a,5,"decile 5 [0.5,0.6)",238,86,152,0.5265,0.5556,0.5767,0.5877,0.5009,0.2275
primary,31,a,6,"decile 6 [0.6,0.7)",238,86,152,0.5593,0.5519,0.5701,0.579,0.5006,0.0319
primary,31,a,7,"decile 7 [0.7,0.8)",238,86,152,0.5469,0.5599,0.5779,0.5887,0.4992,0.0838
primary,31,a,8,"decile 8 [0.8,0.9)",238,86,152,0.5897,0.5613,0.5948,0.5981,0.5009,0.016
primary,31,a,9,"decile 9 [0.9,1.0)",238,86,152,0.6396,0.557,0.5724,0.5794,0.4993,0.002
primary,31,b,0,"[-250,-225)",167,69,98,0.4485,0.5703,0.5973,0.5983,0.5029,0.9162
primary,31,b,1,"[-225,-200)",167,69,98,0.5346,0.5614,0.5913,0.6003,0.4987,0.1697
primary,31,b,2,"[-200,-175)",167,69,98,0.4754,0.5679,0.5925,0.5988,0.4969,0.7066
primary,31,b,3,"[-175,-150)",167,69,98,0.4436,0.5645,0.593,0.5994,0.4968,0.9002
primary,31,b,4,"[-150,-125)",167,69,98,0.493,0.5699,0.5982,0.5996,0.4993,0.5409
primary,31,b,5,"[-125,-100)",167,69,98,0.5412,0.5655,0.5892,0.5975,0.4978,0.1437
primary,31,b,6,"[-100,-75)",167,69,98,0.5098,0.5674,0.5909,0.5952,0.4983,0.3872
primary,31,b,7,"[-75,-50)",167,69,98,0.5617,0.5679,0.5886,0.6034,0.4998,0.0719
primary,31,b,8,"[-50,-25)",167,69,98,0.5403,0.5704,0.5989,0.6123,0.5011,0.1557
primary,31,b,9,"[-25,+0)",167,69,98,0.5955,0.5679,0.6134,0.6213,0.5003,0.018
primary,31,b,10,"[+0,+25)",167,69,98,0.5518,0.5686,0.602,0.6138,0.5012,0.1098
primary,31,b,11,"[+25,+50)",36,15,21,0.4792,0.6465,0.7187,0.7504,0.4952,0.5489
primary,33,a,0,"decile 0 [0.0,0.1)",238,86,152,0.5484,0.5579,0.5858,0.5916,0.4996,0.0719
primary,33,a,1,"decile 1 [0.1,0.2)",238,86,152,0.5146,0.5559,0.5826,0.5937,0.4997,0.3493
primary,33,a,2,"decile 2 [0.2,0.3)",238,86,152,0.5293,0.5589,0.5819,0.5871,0.5018,0.2176
primary,33,a,3,"decile 3 [0.3,0.4)",238,86,152,0.5619,0.5577,0.5785,0.5826,0.5011,0.0379
primary,33,a,4,"decile 4 [0.4,0.5)",238,86,152,0.5396,0.5581,0.5742,0.5808,0.5002,0.1198
primary,33,a,5,"decile 5 [0.5,0.6)",238,86,152,0.5294,0.5536,0.5726,0.5858,0.5008,0.2016
primary,33,a,6,"decile 6 [0.6,0.7)",238,86,152,0.5584,0.5539,0.5694,0.5752,0.5008,0.0479
primary,33,a,7,"decile 7 [0.7,0.8)",238,86,152,0.5423,0.559,0.5762,0.5921,0.499,0.1078
primary,33,a,8,"decile 8 [0.8,0.9)",238,86,152,0.5824,0.5591,0.586,0.5952,0.5007,0.02
primary,33,a,9,"decile 9 [0.9,1.0)",238,86,152,0.6364,0.555,0.5715,0.5782,0.4996,0.002
primary,33,b,0,"[-250,-225)",167,69,98,0.4484,0.5704,0.601,0.6029,0.5022,0.9062
primary,33,b,1,"[-225,-200)",167,69,98,0.5319,0.5651,0.5869,0.5963,0.4986,0.1956
primary,33,b,2,"[-200,-175)",167,69,98,0.4687,0.5669,0.5949,0.5989,0.4971,0.7525
primary,33,b,3,"[-175,-150)",167,69,98,0.4452,0.5697,0.5907,0.596,0.4973,0.8902
primary,33,b,4,"[-150,-125)",167,69,98,0.5078,0.5696,0.5961,0.5994,0.4995,0.4192
primary,33,b,5,"[-125,-100)",167,69,98,0.5314,0.5664,0.5944,0.5986,0.4982,0.2076
primary,33,b,6,"[-100,-75)",167,69,98,0.5151,0.5665,0.5918,0.6074,0.498,0.3253
primary,33,b,7,"[-75,-50)",167,69,98,0.5663,0.5694,0.5864,0.6055,0.4993,0.0599
primary,33,b,8,"[-50,-25)",167,69,98,0.5303,0.5697,0.5972,0.6198,0.5011,0.2196
primary,33,b,9,"[-25,+0)",167,69,98,0.5934,0.5678,0.6159,0.6212,0.5001,0.016
primary,33,b,10,"[+0,+25)",167,69,98,0.5452,0.5695,0.6036,0.6154,0.5011,0.1377
primary,33,b,11,"[+25,+50)",36,15,21,0.4937,0.6472,0.7125,0.753,0.4948,0.489
primary,35,a,0,"decile 0 [0.0,0.1)",238,86,152,0.5492,0.5543,0.5872,0.5979,0.4991,0.0679
primary,35,a,1,"decile 1 [0.1,0.2)",238,86,152,0.5148,0.5556,0.5847,0.5929,0.4998,0.3373
primary,35,a,2,"decile 2 [0.2,0.3)",238,86,152,0.5275,0.5557,0.5774,0.583,0.5018,0.2315
primary,35,a,3,"decile 3 [0.3,0.4)",238,86,152,0.5661,0.5577,0.5791,0.5832,0.5006,0.0279
primary,35,a,4,"decile 4 [0.4,0.5)",238,86,152,0.5391,0.5607,0.5791,0.5847,0.5002,0.1257
primary,35,a,5,"decile 5 [0.5,0.6)",238,86,152,0.5261,0.5516,0.5752,0.5859,0.5005,0.2136
primary,35,a,6,"decile 6 [0.6,0.7)",238,86,152,0.5574,0.5547,0.5759,0.5775,0.5005,0.0419
primary,35,a,7,"decile 7 [0.7,0.8)",238,86,152,0.5466,0.5564,0.5761,0.5882,0.4988,0.0758
primary,35,a,8,"decile 8 [0.8,0.9)",238,86,152,0.588,0.5597,0.5888,0.5968,0.5009,0.014
primary,35,a,9,"decile 9 [0.9,1.0)",238,86,152,0.6225,0.5548,0.5678,0.5713,0.4994,0.002
primary,35,b,0,"[-250,-225)",167,69,98,0.4521,0.5715,0.6002,0.6029,0.502,0.8962
primary,35,b,1,"[-225,-200)",167,69,98,0.5363,0.5626,0.59,0.5928,0.4985,0.1517
primary,35,b,2,"[-200,-175)",167,69,98,0.4724,0.5686,0.593,0.5983,0.4975,0.7345
primary,35,b,3,"[-175,-150)",167,69,98,0.457,0.5654,0.5911,0.5943,0.4969,0.8004
primary,35,b,4,"[-150,-125)",167,69,98,0.5026,0.5683,0.5918,0.6052,0.4999,0.4511
primary,35,b,5,"[-125,-100)",167,69,98,0.5353,0.5697,0.5976,0.6044,0.4984,0.1936
primary,35,b,6,"[-100,-75)",167,69,98,0.5064,0.5667,0.5864,0.6009,0.498,0.4152
primary,35,b,7,"[-75,-50)",167,69,98,0.5641,0.5669,0.5832,0.5992,0.4989,0.0619
primary,35,b,8,"[-50,-25)",167,69,98,0.5201,0.5682,0.5975,0.618,0.5008,0.3094
primary,35,b,9,"[-25,+0)",167,69,98,0.5989,0.5688,0.6087,0.6197,0.5001,0.014
primary,35,b,10,"[+0,+25)",167,69,98,0.5438,0.5707,0.5982,0.6153,0.5001,0.1417
primary,35,b,11,"[+25,+50)",36,15,21,0.5083,0.6455,0.7146,0.7374,0.495,0.4471
control_arm,21,a,0,"decile 0 [0.0,0.1)",238,113,125,0.5,0.5587,0.5848,0.5884,0.5018,0.519
control_arm,21,a,1,"decile 1 [0.1,0.2)",238,113,125,0.5,0.5541,0.5767,0.5892,0.4993,0.477
control_arm,21,a,2,"decile 2 [0.2,0.3)",238,113,125,0.5,0.5541,0.5683,0.5827,0.4985,0.4731
control_arm,21,a,3,"decile 3 [0.3,0.4)",238,113,125,0.5,0.5583,0.5828,0.5842,0.5014,0.517
control_arm,21,a,4,"decile 4 [0.4,0.5)",238,113,125,0.5,0.5575,0.575,0.5806,0.4987,0.489
control_arm,21,a,5,"decile 5 [0.5,0.6)",238,113,125,0.5,0.5524,0.5739,0.5792,0.499,0.499
control_arm,21,a,6,"decile 6 [0.6,0.7)",238,113,125,0.5,0.55,0.5686,0.5756,0.5002,0.503
control_arm,21,a,7,"decile 7 [0.7,0.8)",238,113,125,0.5,0.5553,0.585,0.5901,0.5008,0.493
control_arm,21,a,8,"decile 8 [0.8,0.9)",238,113,125,0.5,0.5584,0.5881,0.5941,0.499,0.4651
control_arm,21,a,9,"decile 9 [0.9,1.0)",238,113,125,0.5,0.5619,0.5727,0.5817,0.4992,0.477
control_arm,21,b,0,"[-250,-225)",167,75,92,0.5,0.5655,0.5962,0.6051,0.5009,0.487
control_arm,21,b,1,"[-225,-200)",167,75,92,0.5,0.5608,0.5863,0.598,0.4998,0.487
control_arm,21,b,2,"[-200,-175)",167,75,92,0.5,0.5613,0.5887,0.6068,0.4996,0.495
control_arm,21,b,3,"[-175,-150)",167,75,92,0.5,0.5633,0.5864,0.5997,0.4983,0.479
control_arm,21,b,4,"[-150,-125)",167,75,92,0.5,0.5648,0.6026,0.6124,0.5018,0.495
control_arm,21,b,5,"[-125,-100)",167,75,92,0.5,0.5704,0.5948,0.5957,0.4993,0.4691
control_arm,21,b,6,"[-100,-75)",167,75,92,0.5,0.5697,0.6043,0.613,0.5002,0.489
control_arm,21,b,7,"[-75,-50)",167,75,92,0.5,0.5624,0.5845,0.5883,0.5006,0.507
control_arm,21,b,8,"[-50,-25)",167,75,92,0.5,0.5674,0.5949,0.6029,0.5006,0.479
control_arm,21,b,9,"[-25,+0)",167,75,92,0.5,0.5643,0.5863,0.5948,0.4991,0.511
control_arm,21,b,10,"[+0,+25)",167,75,92,0.5,0.5697,0.5987,0.606,0.4992,0.495
control_arm,21,b,11,"[+25,+50)",36,18,18,0.5,0.6267,0.704,0.7153,0.4959,0.481
control_arm,23,a,0,"decile 0 [0.0,0.1)",238,113,125,0.5,0.5607,0.5831,0.5921,0.5022,0.5309
control_arm,23,a,1,"decile 1 [0.1,0.2)",238,113,125,0.5,0.5541,0.5743,0.5828,0.4995,0.4671
control_arm,23,a,2,"decile 2 [0.2,0.3)",238,113,125,0.5,0.555,0.5698,0.5822,0.4987,0.4651
control_arm,23,a,3,"decile 3 [0.3,0.4)",238,113,125,0.5,0.5561,0.5814,0.5871,0.5011,0.5349
control_arm,23,a,4,"decile 4 [0.4,0.5)",238,113,125,0.5,0.5536,0.5747,0.5838,0.4987,0.483
control_arm,23,a,5,"decile 5 [0.5,0.6)",238,113,125,0.5,0.5535,0.5726,0.5768,0.4997,0.5269
control_arm,23,a,6,"decile 6 [0.6,0.7)",238,113,125,0.5,0.5507,0.5684,0.575,0.5,0.501
control_arm,23,a,7,"decile 7 [0.7,0.8)",238,113,125,0.5,0.5566,0.5825,0.5899,0.5013,0.497
control_arm,23,a,8,"decile 8 [0.8,0.9)",238,113,125,0.5,0.5594,0.5811,0.5908,0.4993,0.4651
control_arm,23,a,9,"decile 9 [0.9,1.0)",238,113,125,0.5,0.5604,0.574,0.5843,0.4996,0.479
control_arm,23,b,0,"[-250,-225)",167,75,92,0.5,0.5685,0.5977,0.5988,0.5005,0.481
control_arm,23,b,1,"[-225,-200)",167,75,92,0.5,0.5648,0.592,0.6041,0.5,0.489
control_arm,23,b,2,"[-200,-175)",167,75,92,0.5,0.5622,0.5945,0.6029,0.4995,0.509
control_arm,23,b,3,"[-175,-150)",167,75,92,0.5,0.5596,0.5858,0.6011,0.4983,0.491
control_arm,23,b,4,"[-150,-125)",167,75,92,0.5,0.5645,0.606,0.6108,0.5018,0.495
control_arm,23,b,5,"[-125,-100)",167,75,92,0.5,0.5704,0.5923,0.5934,0.4993,0.4671
control_arm,23,b,6,"[-100,-75)",167,75,92,0.5,0.5701,0.6036,0.6147,0.5007,0.505
control_arm,23,b,7,"[-75,-50)",167,75,92,0.5,0.5631,0.5877,0.5902,0.5003,0.499
control_arm,23,b,8,"[-50,-25)",167,75,92,0.5,0.5677,0.5871,0.5918,0.5003,0.491
control_arm,23,b,9,"[-25,+0)",167,75,92,0.5,0.5627,0.5882,0.5934,0.4989,0.509
control_arm,23,b,10,"[+0,+25)",167,75,92,0.5,0.5705,0.5967,0.608,0.4984,0.485
control_arm,23,b,11,"[+25,+50)",36,18,18,0.5,0.6251,0.7024,0.7119,0.4946,0.477
control_arm,25,a,0,"decile 0 [0.0,0.1)",238,113,125,0.5,0.5618,0.5856,0.5963,0.5024,0.5309
control_arm,25,a,1,"decile 1 [0.1,0.2)",238,113,125,0.5,0.5547,0.5745,0.5907,0.4997,0.487
control_arm,25,a,2,"decile 2 [0.2,0.3)",238,113,125,0.5,0.5555,0.5766,0.5789,0.4989,0.475
control_arm,25,a,3,"decile 3 [0.3,0.4)",238,113,125,0.5,0.5551,0.58,0.5842,0.5012,0.5289
control_arm,25,a,4,"decile 4 [0.4,0.5)",238,113,125,0.5,0.5541,0.5773,0.5815,0.4986,0.487
control_arm,25,a,5,"decile 5 [0.5,0.6)",238,113,125,0.5,0.5546,0.5729,0.5794,0.4998,0.519
control_arm,25,a,6,"decile 6 [0.6,0.7)",238,113,125,0.5,0.5513,0.5667,0.5746,0.4998,0.491
control_arm,25,a,7,"decile 7 [0.7,0.8)",238,113,125,0.5,0.5569,0.5811,0.5902,0.5014,0.481
control_arm,25,a,8,"decile 8 [0.8,0.9)",238,113,125,0.5,0.5582,0.5812,0.595,0.4988,0.4651
control_arm,25,a,9,"decile 9 [0.9,1.0)",238,113,125,0.5,0.5591,0.5742,0.5789,0.4994,0.4731
control_arm,25,b,0,"[-250,-225)",167,75,92,0.5,0.5705,0.5956,0.6024,0.5003,0.491
control_arm,25,b,1,"[-225,-200)",167,75,92,0.5,0.5624,0.5907,0.5978,0.5,0.507
control_arm,25,b,2,"[-200,-175)",167,75,92,0.5,0.5636,0.595,0.6049,0.4998,0.517
control_arm,25,b,3,"[-175,-150)",167,75,92,0.5,0.5639,0.587,0.6011,0.498,0.493
control_arm,25,b,4,"[-150,-125)",167,75,92,0.5,0.5661,0.6079,0.6173,0.5021,0.5269
control_arm,25,b,5,"[-125,-100)",167,75,92,0.5,0.5707,0.5935,0.595,0.4996,0.4711
control_arm,25,b,6,"[-100,-75)",167,75,92,0.5,0.5721,0.602,0.6122,0.5012,0.509
control_arm,25,b,7,"[-75,-50)",167,75,92,0.5,0.5633,0.5865,0.5912,0.5004,0.487
control_arm,25,b,8,"[-50,-25)",167,75,92,0.5,0.5668,0.5921,0.5981,0.5005,0.481
control_arm,25,b,9,"[-25,+0)",167,75,92,0.5,0.5611,0.584,0.5921,0.4995,0.515
control_arm,25,b,10,"[+0,+25)",167,75,92,0.5,0.5719,0.5979,0.6063,0.499,0.481
control_arm,25,b,11,"[+25,+50)",36,18,18,0.5,0.6329,0.704,0.7095,0.4939,0.4691
control_arm,27,a,0,"decile 0 [0.0,0.1)",238,113,125,0.5,0.5605,0.5837,0.597,0.5023,0.519
control_arm,27,a,1,"decile 1 [0.1,0.2)",238,113,125,0.5,0.5533,0.577,0.5872,0.4994,0.505
control_arm,27,a,2,"decile 2 [0.2,0.3)",238,113,125,0.5,0.5547,0.577,0.5789,0.499,0.4691
