form,layer,vphat_l2,vp_l2,cos_vp_vphat,probe_balacc_phat,probe_null_p95,is_layer_star
B,28,13.490070,4.340632,0.371313,0.750347,0.586179,0
B,29,14.562233,5.244988,0.360012,0.751042,0.584815,0
B,30,15.373740,5.989421,0.303674,0.726736,0.584267,0
B,31,16.295334,6.661965,0.264521,0.686805,0.586028,0
B,32,17.285244,7.176080,0.216999,0.677778,0.583669,0
B,33,18.995371,8.153623,0.238893,0.681944,0.583567,0
B,34,20.395149,8.635406,0.175934,0.675347,0.581612,0
B,35,22.105894,9.495499,0.154949,0.667014,0.583289,0
B,36,23.869398,10.410671,0.110967,0.654861,0.584514,0
B,37,26.552599,11.358138,0.058576,0.659722,0.586118,0
B,38,28.286812,12.224442,0.034611,0.659375,0.584561,0
B,39,31.211836,13.108725,0.009433,0.663194,0.585210,0
B,40,33.096626,14.325007,-0.014152,0.653472,0.587588,0
B,41,35.649349,15.497894,-0.034009,0.656944,0.588850,0
B,42,38.897530,17.645350,-0.112695,0.657986,0.589754,0
B,43,43.293987,19.576576,-0.105041,0.651389,0.591436,0
B,44,51.532894,21.701460,-0.173949,0.637847,0.590732,0
B,45,57.711903,24.481009,-0.199486,0.635764,0.591000,0
B,46,71.033836,28.550365,-0.213667,0.636458,0.592007,0
B,47,102.934975,37.730122,-0.237570,0.650347,0.588380,0
