arm,trace_i,seed,phat,n_gen,belief_gen_pos,flip_pos,flip_pos_strict,flip_to,n_est_post_flip,post_flip_estimates,score_start,score_end,settle_pos,cut_point
below_good,81,6145,-1,560,,,,,0,,0.5037,0.4217,328,
below_good,83,6147,-1,375,367,,,,0,,0.5083,0.4282,242,241
below_good,85,6149,-1,373,368,,,,0,,0.5232,0.4397,255,254
below_good,86,6150,-1,332,311,,,,0,,0.4976,0.4116,201,200
below_good,87,6151,-1,370,368,,,,0,,0.503,0.4181,236,235
below_good,88,6152,-1,362,351,,,,0,,0.5121,0.4219,230,229
below_good,89,6153,-1,373,371,,,,0,,0.51,0.4524,222,221
below_good,90,6154,-1,540,,,,,0,,0.5481,0.4083,319,
below_good,91,6155,-1,390,383,,,,0,,0.5095,0.4374,272,271
below_good,92,6156,-1,275,,,,,0,,0.5133,0.4287,118,
below_good,93,6157,-1,397,386,,,,0,,0.4964,0.4069,283,282
below_good,94,6158,-1,378,376,,,,0,,0.5214,0.4426,77,76
below_good,95,6159,-1,380,365,,,,0,,0.4962,0.4571,0,
below_good,96,6160,-1,347,341,,,,0,,0.5388,0.4569,133,132
below_good,97,6161,-1,346,340,,,,0,,0.484,0.4188,227,226
below_good,98,6162,-1,446,440,,,,0,,0.5029,0.4565,0,
below_good,99,6163,-1,507,,,,,0,,0.5045,0.4051,295,
below_good,100,6164,-1,497,495,,,,0,,0.5222,0.3869,392,391
below_good,101,6165,-1,415,399,,,,0,,0.532,0.4261,250,249
below_good,102,6166,-1,449,,,,,0,,0.5032,0.4257,247,
below_good,103,6167,-1,465,430,,,,0,,0.4966,0.4622,0,
below_good,104,6168,-1,399,397,,,,0,,0.5513,0.4206,279,278
below_good,105,6169,-1,400,398,,,,0,,0.5099,0.3967,292,291
below_good,106,6170,-1,695,,,,,0,,0.5148,0.4465,338,
below_good,107,6171,-1,610,,,,,0,,0.5437,0.4522,59,
below_good,108,6172,-1,476,436,,,,0,,0.5129,0.4314,311,310
below_good,110,6174,-1,720,,,,,0,,0.5303,0.4197,421,
below_good,111,6175,-1,485,,,,,0,,0.5371,0.3972,287,
below_good,112,6176,1,427,417,,,,0,,0.5275,0.5997,238,237
below_good,113,6177,-1,547,,,,,0,,0.5124,0.4265,326,
