layer,scope,stratum,n_traces,n_pos,n_neg,n_points,accuracy,null_mean,null_p95,p_perm,baseline_acc,baseline_null_p95,baseline_p,n_perm,n_repeat
20,tercile_resid_group,0,,,,,0.7777777777777778,,,,0.5041666666666665,,,1000,20
20,tercile_resid_group,1,,,,,0.49722222222222223,,,,0.5916666666666668,,,1000,20
20,tercile_resid_group,2,,,,,0.68,,,,0.8216666666666667,,,1000,20
21,full,all,109,79,30,203,0.7434027777777777,0.49988392381325036,0.588974687058111,0.000999000999000999,,,,1000,20
21,tercile_resid,all,109,79,30,203,0.6530555555555556,0.4998034123305099,0.5868202527924749,0.004995004995004995,0.6391666666666667,,,1000,20
21,tercile_resid_group,0,,,,,0.7777777777777778,,,,0.5041666666666665,,,1000,20
21,tercile_resid_group,1,,,,,0.49722222222222223,,,,0.5916666666666668,,,1000,20
21,tercile_resid_group,2,,,,,0.6841666666666668,,,,0.8216666666666667,,,1000,20
22,full,all,109,79,30,203,0.7430555555555555,0.49970800713868185,0.5892060046032871,0.000999000999000999,,,,1000,20
22,tercile,all,109,79,30,203,0.6862037037037038,0.49963005334929367,0.5929019423558898,0.001998001998001998,0.6391666666666667,,,1000,20
22,tercile_group,0,,,,,0.7722222222222223,,,,0.5041666666666665,,,1000,20
22,tercile_group,1,,,,,0.551388888888889,,,,0.5916666666666668,,,1000,20
22,tercile_group,2,,,,,0.735,,,,0.8216666666666667,,,1000,20
22,tercile_resid,all,109,79,30,203,0.6530555555555556,0.49994024630434036,0.5870898206504822,0.004995004995004995,0.6391666666666667,,,1000,20
22,tercile_resid_group,0,,,,,0.775,,,,0.5041666666666665,,,1000,20
22,tercile_resid_group,1,,,,,0.4916666666666667,,,,0.5916666666666668,,,1000,20
22,tercile_resid_group,2,,,,,0.6925000000000001,,,,0.8216666666666667,,,1000,20
22,resid_full,all,109,79,30,203,0.639236111111111,0.500389790346016,0.5901979113579657,0.003996003996003996,0.6767361111111112,,,1000,20
22,resid_full_group,0,,,,,0.639236111111111,,,,0.6767361111111112,,,1000,20
22,matched,all,60,30,30,203,0.6777777777777778,0.4990305555555556,0.6001388888888888,0.002997002997002997,0.5805555555555555,,,1000,20
22,matched_group,0,,,,,0.6777777777777778,,,,0.5805555555555555,,,1000,20
22,residualized,all,109,79,30,203,0.639236111111111,0.500389790346016,0.5901979113579657,0.003996003996003996,,,,1000,20
23,full,all,109,79,30,203,0.7413194444444443,0.49958263043922657,0.5877689998005213,0.000999000999000999,,,,1000,20
23,tercile_resid,all,109,79,30,203,0.6455555555555555,0.4998189221361903,0.585238205467372,0.004995004995004995,0.6391666666666667,,,1000,20
23,tercile_resid_group,0,,,,,0.775,,,,0.5041666666666665,,,1000,20
23,tercile_resid_group,1,,,,,0.4833333333333333,,,,0.5916666666666668,,,1000,20
23,tercile_resid_group,2,,,,,0.6783333333333335,,,,0.8216666666666667,,,1000,20
24,full,all,109,79,30,203,0.7527777777777778,0.4994730432510076,0.5863489086396695,0.000999000999000999,,,,1000,20
24,tercile_resid,all,109,79,30,203,0.6510185185185186,0.5000381401876209,0.5899028880070547,0.003996003996003996,0.6391666666666667,,,1000,20
24,tercile_resid_group,0,,,,,0.7750000000000001,,,,0.5041666666666665,,,1000,20
24,tercile_resid_group,1,,,,,0.4805555555555555,,,,0.5916666666666668,,,1000,20
24,tercile_resid_group,2,,,,,0.6975,,,,0.8216666666666667,,,1000,20
25,full,all,109,79,30,203,0.7499999999999999,0.49944029700767967,0.5871984335109335,0.000999000999000999,,,,1000,20
25,tercile_resid,all,109,79,30,203,0.6626851851851853,0.4999549610447405,0.584935655109997,0.002997002997002997,0.6391666666666667,,,1000,20
